,name,score
1101,y_max_x_min,137.2
1095,x_min,117.8
780,w2c_v_std_30,75.0
1091,x_max,64.2
1098,x_sum,58.2
957,w2c_x-y-10_71,57.8
10,cut_4,55.0
11,cut_5,51.8
1100,y_max,51.0
1094,x_mean,48.8
1009,w2c_x-y-v_28,46.8
861,w2c_x-y-1000_75,45.6
1052,w2c_x-y-v_67,43.4
813,w2c_x-y-1000_31,43.2
638,w2c_v-sg_8,43.0
943,w2c_x-y-10_59,41.6
881,w2c_x-y-1000_93,41.0
962,w2c_x-y-10_76,40.4
503,w2c_v-d_48,40.2
1093,x_max_y_min,38.8
868,w2c_x-y-1000_81,38.8
1096,x_skew,38.6
875,w2c_x-y-1000_88,38.6
1040,w2c_x-y-v_56,37.0
513,w2c_v-d_57,36.2
865,w2c_x-y-1000_79,36.0
987,w2c_x-y-10_99,35.6
877,w2c_x-y-1000_9,35.0
985,w2c_x-y-10_97,34.6
8,cut_2,34.4
944,w2c_x-y-10_6,34.0
928,w2c_x-y-10_45,34.0
925,w2c_x-y-10_42,33.8
862,w2c_x-y-1000_76,33.4
791,w2c_x-y-1000_11,33.0
872,w2c_x-y-1000_85,33.0
937,w2c_x-y-10_53,32.8
810,w2c_x-y-1000_29,32.6
818,w2c_x-y-1000_36,32.6
806,w2c_x-y-1000_25,32.6
1064,w2c_x-y-v_78,32.4
797,w2c_x-y-1000_17,32.2
1037,w2c_x-y-v_53,32.2
436,w2c_label_16,31.4
348,w2c_label-d_23,31.4
604,w2c_v-sg_49,30.8
798,w2c_x-y-1000_18,30.8
403,w2c_label-v_15,30.6
353,w2c_label-d_28,30.6
968,w2c_x-y-10_81,30.4
345,w2c_label-d_20,30.4
949,w2c_x-y-10_64,30.2
1046,w2c_x-y-v_61,30.0
920,w2c_x-y-10_38,30.0
1058,w2c_x-y-v_72,30.0
1089,x,30.0
1104,y_min,30.0
808,w2c_x-y-1000_27,29.8
990,w2c_x-y-v_10,29.6
982,w2c_x-y-10_94,29.6
1074,w2c_x-y-v_87,29.6
888,w2c_x-y-10_0,29.4
434,w2c_label_14,29.4
665,w2c_v_diff_13,29.4
1011,w2c_x-y-v_3,29.4
1077,w2c_x-y-v_9,29.2
793,w2c_x-y-1000_13,29.2
586,w2c_v-sg_32,29.2
499,w2c_v-d_44,29.2
840,w2c_x-y-1000_56,29.2
878,w2c_x-y-1000_90,29.0
863,w2c_x-y-1000_77,29.0
845,w2c_x-y-1000_60,28.8
76,geoid_100,28.8
92,v_diff_skew,28.4
1099,y,28.2
